GEOID,1984,1984 Euros,1984 Pounds
04000US01,17310,15232.8,11078.4
04000US02,32356,28473.28,20707.84
04000US04,21425,18854.0,13712.0
04000US05,15674,13793.12,10031.36
04000US06,25287,22252.56,16183.68
04000US08,25801,22704.88,16512.64
04000US09,29951,26356.88,19168.64
04000US10,25819,22720.72,16524.16
04000US12,19785,17410.8,12662.4
04000US13,19984,17585.920000000002,12789.76
04000US15,28877,25411.76,18481.28
04000US16,21092,18560.96,13498.880000000001
04000US17,23752,20901.76,15201.28
04000US18,22770,20037.6,14572.800000000001
04000US19,19863,17479.44,12712.32
04000US20,24629,21673.52,15762.56
04000US21,17680,15558.4,11315.2
04000US22,18949,16675.12,12127.36
04000US23,20648,18170.24,13214.720000000001
04000US24,29708,26143.04,19013.12
04000US25,26959,23723.920000000002,17253.760000000002
04000US26,22965,20209.2,14697.6
04000US27,24436,21503.68,15639.04
04000US28,15430,13578.4,9875.2
04000US29,20775,18282.0,13296.0
04000US30,19536,17191.68,12503.04
04000US31,21397,18829.36,13694.08
04000US32,25776,22682.88,16496.64
04000US33,25914,22804.32,16584.96
04000US34,27776,24442.88,17776.64
04000US35,20630,18154.4,13203.2
04000US36,22027,19383.76,14097.28
04000US37,20569,18100.72,13164.16
04000US38,20771,18278.48,13293.44
04000US39,23123,20348.24,14798.720000000001
04000US40,21148,18610.24,13534.720000000001
04000US41,21399,18831.12,13695.36
04000US42,20346,17904.48,13021.44
04000US44,21612,19018.56,13831.68
04000US45,20309,17871.920000000002,12997.76
04000US46,19409,17079.920000000002,12421.76
04000US47,16782,14768.16,10740.48
04000US48,23024,20261.12,14735.36
04000US49,23057,20290.16,14756.48
04000US50,22578,19868.64,14449.92
04000US51,26525,23342.0,16976.0
04000US53,25017,22014.96,16010.880000000001
04000US54,16843,14821.84,10779.52
04000US55,20743,18253.84,13275.52
04000US56,23816,20958.08,15242.24
